,PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
0,Nikola Jokić,DEN,DEN @ HOU,04/13/2025,W,31,18,7,10,70.0,3,5,60.0,1,2,50.0,1,6,7,7,2,1,1,3,34,44.9
1,Nikola Jokić,DEN,DEN vs. MEM,04/11/2025,W,41,26,11,19,57.9,1,2,50.0,3,7,42.9,3,13,16,13,2,0,5,3,11,65.7
2,Nikola Jokić,DEN,DEN @ SAC,04/09/2025,W,38,20,5,12,41.7,0,1,0.0,10,10,100,3,9,12,11,4,0,1,2,9,61.9
3,Nikola Jokić,DEN,DEN vs. IND,04/06/2025,L,39,41,18,33,54.5,3,11,27.3,2,3,66.7,3,12,15,13,2,1,4,0,1,83.5
4,Nikola Jokić,DEN,DEN @ GSW,04/04/2025,L,37,33,13,17,76.5,4,7,57.1,3,3,100,2,10,12,9,2,0,6,2,-4,60.9
5,Nikola Jokić,DEN,DEN vs. MIN,04/01/2025,L,53,61,18,29,62.1,6,11,54.5,19,24,79.2,2,8,10,10,2,0,4,5,2,90.0
6,Nikola Jokić,DEN,DEN vs. UTA,03/28/2025,W,32,27,8,18,44.4,1,5,20.0,10,12,83.3,5,9,14,6,4,0,3,0,28,61.8
7,Nikola Jokić,DEN,DEN vs. MIL,03/26/2025,W,38,39,16,25,64.0,3,6,50.0,4,7,57.1,2,8,10,10,0,0,3,2,14,63.0
8,Nikola Jokić,DEN,DEN vs. WAS,03/15/2025,L,39,40,16,30,53.3,1,8,12.5,7,7,100,3,10,13,9,1,2,3,3,6,75.1
9,Nikola Jokić,DEN,DEN vs. LAL,03/14/2025,W,38,28,8,16,50.0,0,4,0.0,12,17,70.6,1,6,7,5,3,1,4,5,2,51.9
10,Nikola Jokić,DEN,DEN vs. MIN,03/12/2025,L,38,34,13,23,56.5,2,6,33.3,6,8,75.0,3,5,8,4,1,0,3,3,-24,49.6
11,Nikola Jokić,DEN,DEN @ OKC,03/10/2025,W,40,35,15,20,75.0,1,2,50.0,4,5,80.0,2,16,18,8,1,1,1,4,8,73.6
12,Nikola Jokić,DEN,DEN @ OKC,03/09/2025,L,41,24,10,23,43.5,2,10,20.0,2,6,33.3,2,11,13,9,1,3,2,3,-13,63.1
13,Nikola Jokić,DEN,DEN vs. PHX,03/07/2025,W,45,31,13,22,59.1,3,7,42.9,2,3,66.7,4,17,21,22,3,0,4,3,8,94.2
14,Nikola Jokić,DEN,DEN vs. SAC,03/05/2025,W,38,22,9,18,50.0,0,2,0.0,4,6,66.7,5,10,15,6,1,0,7,3,-7,45.0
15,Nikola Jokić,DEN,DEN @ BOS,03/02/2025,L,39,20,9,15,60.0,2,3,66.7,0,0,-,3,11,14,9,2,0,2,2,0,54.3
16,Nikola Jokić,DEN,DEN @ DET,02/28/2025,W,34,23,6,12,50.0,0,3,0.0,11,12,91.7,0,17,17,15,1,2,7,2,33,67.9
17,Nikola Jokić,DEN,DEN @ MIL,02/27/2025,L,38,32,13,16,81.3,1,2,50.0,5,7,71.4,1,13,14,10,1,0,5,4,-5,61.8
18,Nikola Jokić,DEN,DEN @ IND,02/24/2025,W,39,18,9,14,64.3,0,1,0.0,0,0,-,0,9,9,19,3,1,4,1,17,65.3
19,Nikola Jokić,DEN,DEN vs. LAL,02/22/2025,L,35,12,2,7,28.6,0,1,0.0,8,10,80.0,4,9,13,10,1,0,6,3,-11,39.6
20,Nikola Jokić,DEN,DEN vs. CHA,02/20/2025,W,37,29,11,22,50.0,6,14,42.9,1,2,50.0,4,13,17,9,1,1,2,1,14,66.9
21,Nikola Jokić,DEN,DEN vs. POR,02/12/2025,W,36,26,11,20,55.0,0,3,0.0,4,4,100,3,12,15,10,2,0,4,4,6,61.0
22,Nikola Jokić,DEN,DEN vs. POR,02/10/2025,W,31,40,15,22,68.2,2,7,28.6,8,8,100,1,6,7,8,3,1,5,2,22,67.4
23,Nikola Jokić,DEN,DEN @ PHX,02/08/2025,W,29,26,11,13,84.6,1,2,50.0,3,3,100,4,7,11,9,0,0,2,4,19,50.7
24,Nikola Jokić,DEN,DEN vs. ORL,02/06/2025,W,31,28,11,16,68.8,2,4,50.0,4,6,66.7,0,10,10,12,2,0,3,2,22,61.0
25,Nikola Jokić,DEN,DEN vs. NOP,02/05/2025,W,36,38,15,28,53.6,5,13,38.5,3,3,100,2,6,8,10,1,1,1,3,24,67.6
26,Nikola Jokić,DEN,DEN vs. NOP,02/03/2025,W,36,27,9,13,69.2,1,3,33.3,8,10,80.0,1,13,14,10,1,2,1,2,11,66.8
27,Nikola Jokić,DEN,DEN @ CHA,02/01/2025,W,37,28,9,17,52.9,2,7,28.6,8,9,88.9,1,12,13,17,4,1,4,2,-2,80.1
28,Nikola Jokić,DEN,DEN @ PHI,01/31/2025,W,37,28,11,16,68.8,2,3,66.7,4,5,80.0,2,7,9,13,2,0,6,3,0,58.3
29,Nikola Jokić,DEN,DEN @ NYK,01/29/2025,L,33,17,6,15,40.0,3,7,42.9,2,2,100,0,6,6,6,2,1,2,3,-3,40.2
30,Nikola Jokić,DEN,DEN @ CHI,01/27/2025,L,40,33,15,21,71.4,1,4,25.0,2,2,100,2,10,12,14,1,1,4,1,1,70.4
31,Nikola Jokić,DEN,DEN @ MIN,01/25/2025,L,32,20,9,13,69.2,2,4,50.0,0,1,0.0,1,2,3,11,0,0,7,0,-24,33.1
32,Nikola Jokić,DEN,DEN vs. SAC,01/23/2025,W,37,35,12,19,63.2,2,3,66.7,9,10,90.0,3,19,22,17,1,2,1,5,11,94.9
33,Nikola Jokić,DEN,DEN vs. PHI,01/21/2025,W,30,27,10,15,66.7,2,3,66.7,5,5,100,5,8,13,10,4,1,2,1,21,70.6
34,Nikola Jokić,DEN,DEN @ ORL,01/19/2025,W,30,20,7,9,77.8,0,0,-,6,7,85.7,1,13,14,10,3,3,2,0,20,67.8
35,Nikola Jokić,DEN,DEN @ MIA,01/17/2025,W,31,24,9,12,75.0,1,2,50.0,5,5,100,2,10,12,10,1,0,2,1,6,54.4
36,Nikola Jokić,DEN,DEN @ DAL,01/14/2025,W,29,10,4,7,57.1,1,2,50.0,1,2,50.0,2,12,14,10,2,0,1,3,23,46.8
37,Nikola Jokić,DEN,DEN @ DAL,01/12/2025,W,39,19,6,13,46.2,0,2,0.0,7,9,77.8,4,14,18,9,3,0,4,4,-2,59.1
38,Nikola Jokić,DEN,DEN vs. BKN,01/10/2025,W,38,35,14,21,66.7,1,1,100,6,8,75.0,5,7,12,15,4,0,1,1,33,82.9
39,Nikola Jokić,DEN,DEN @ SAS,01/04/2025,W,43,46,19,35,54.3,3,8,37.5,5,6,83.3,4,5,9,10,2,2,2,3,7,81.8
40,Nikola Jokić,DEN,DEN vs. SAS,01/03/2025,L,37,41,15,36,41.7,3,10,30.0,8,9,88.9,4,14,18,9,2,0,2,3,7,80.1
41,Nikola Jokić,DEN,DEN vs. ATL,01/01/2025,W,30,23,8,16,50.0,1,1,100,6,6,100,3,14,17,15,0,1,2,2,31,66.9
42,Nikola Jokić,DEN,DEN @ UTA,12/30/2024,W,38,36,14,33,42.4,3,9,33.3,5,6,83.3,7,15,22,11,4,0,2,0,20,88.9
43,Nikola Jokić,DEN,DEN vs. DET,12/28/2024,W,37,37,11,17,64.7,4,5,80.0,11,14,78.6,1,8,9,8,0,0,2,4,25,57.8
44,Nikola Jokić,DEN,DEN vs. CLE,12/27/2024,L,36,27,12,19,63.2,0,3,0.0,3,4,75.0,3,11,14,13,3,0,1,1,-15,71.3
45,Nikola Jokić,DEN,DEN @ PHX,12/25/2024,L,38,25,10,19,52.6,2,7,28.6,3,4,75.0,5,10,15,2,2,0,2,1,-3,50.0
46,Nikola Jokić,DEN,DEN vs. PHX,12/23/2024,W,30,32,12,17,70.6,4,6,66.7,4,5,80.0,0,2,2,7,0,0,1,1,19,43.9
47,Nikola Jokić,DEN,DEN @ NOP,12/22/2024,W,43,27,11,20,55.0,2,3,66.7,3,5,60.0,2,11,13,10,1,1,3,5,6,60.6
48,Nikola Jokić,DEN,DEN @ POR,12/19/2024,L,37,34,13,18,72.2,4,6,66.7,4,4,100,0,6,6,8,1,0,3,4,-5,53.2
49,Nikola Jokić,DEN,DEN @ SAC,12/16/2024,W,38,20,8,19,42.1,1,6,16.7,3,4,75.0,2,12,14,13,2,1,5,0,4,60.3
